company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
Emerson;Data Scientist;3.9;29000;31000;30000;EUR;yearly;Madrid
Repsol;Data Scientist;4.0;36000;39000;37000;EUR;yearly;Madrid
Mercanza;Data Scientist;3.9;864;938;901;EUR;monthly;Madrid
BBVA;Data Scientist;4.2;53000;58000;55000;EUR;yearly;Madrid
System to Increase Quality and Knowledge;Data Scientist;5.0;15000;17000;16000;EUR;yearly;Madrid
Ryanair DAC;Data Scientist;3.3;44000;48000;46000;EUR;yearly;Madrid
Instituto Superior Politécnico José Antonio Echeverría;Data Scientist;3.1;1000;2000;2000;EUR;monthly;Madrid
Altoro Analytics;Data Scientist;-0.1000000014901161;1000;1000;1000;EUR;monthly;Madrid
BNP Paribas;Data Scientist;3.8;2000;2000;2000;EUR;monthly;Madrid
BBVA;Data Scientist;4.2;1000;2000;2000;EUR;monthly;Madrid
Cheil;Data Scientist;3.0;55000;59000;57000;EUR;yearly;Madrid
sngular;Data Scientist;4.2;43000;47000;45000;EUR;yearly;Madrid
TFS HealthScience;Data Scientist;3.7;48000;52000;50000;EUR;yearly;Madrid
Analistas Financieros Internacionales;Data Scientist;3.8;23000;25000;24000;EUR;yearly;Madrid
alfanar;Data Scientist;4.0;29000;31000;30000;EUR;yearly;Madrid
Lagertha;Data Scientist;-0.1000000014901161;34000;36000;35000;EUR;yearly;Madrid
Instituto de Salud Carlos III;Data Scientist;3.6;43000;47000;45000;EUR;yearly;Madrid
Aplicaciones en Informática Avanzada;Data Scientist;2.9;34000;38000;36000;EUR;yearly;Madrid
Factoría Ambiental;Data Scientist;5.0;2000;3000;2000;EUR;monthly;Madrid
CrediMarket;Data Scientist;4.0;39000;42000;40000;EUR;yearly;Madrid
Universidade Estácio de Sá;Data Scientist;3.9;1000;1000;1000;EUR;monthly;Madrid
Avansis;Data Scientist;1.4;46000;50000;48000;EUR;yearly;Madrid
Randstad;Data Scientist;3.7;24000;26000;25000;EUR;yearly;Madrid
Rural Servicios Informáticos;Data Scientist;3.9;22000;24000;23000;EUR;yearly;Madrid
Idealista.com;Data Scientist;3.8;43000;47000;45000;EUR;yearly;Madrid
Amadeus Fire;Data Scientist;3.7;24000;26000;25000;EUR;yearly;Madrid
Vizzuality;Data Scientist;4.6;29000;31000;30000;EUR;yearly;Madrid
Subway;Data Scientist;3.4;38000;42000;40000;EUR;yearly;Madrid
Ferretech Herramega;Data Scientist;-0.1000000014901161;45000;49000;47000;EUR;yearly;Madrid
Frenetic;Data Scientist;2.9;26000;28000;27000;EUR;yearly;Madrid
Foqum;Data Scientist;-0.1000000014901161;33000;37000;35000;EUR;yearly;Madrid
MACSF;Data Scientist;3.7;144000;156000;150000;EUR;yearly;Madrid
Infoser New Tecnologies;Data Scientist;3.1;35000;39000;37000;EUR;yearly;Madrid
@WORK;Data Scientist;3.3;39000;42000;40000;EUR;yearly;Madrid
Banco Popular Español;Data Scientist;3.1;45000;50000;48000;EUR;yearly;Madrid
Comunicación Creativa Manifiesto;Data Scientist;3.3;29000;31000;30000;EUR;yearly;Madrid
Universidad Politécnica de Madrid;Data Scientist;3.9;17000;19000;18000;EUR;yearly;Madrid
Comunidad de Madrid;Data Scientist;3.9;19000;21000;20000;EUR;yearly;Madrid
MIOTI;Data Scientist;4.0;31000;33000;32000;EUR;yearly;Madrid
Inetum;Data Scientist;3.3;25000;27000;26000;EUR;yearly;Madrid
CGI;Data Scientist;3.8;30000;32000;31000;EUR;yearly;Madrid
Cabify;Data Scientist;3.8;533;571;552;EUR;monthly;Madrid
Universidad de La Habana;Data Scientist;4.0;29000;31000;30000;EUR;yearly;Madrid
Aubay;Data Scientist;3.5;28000;30000;29000;EUR;yearly;Madrid
Olympic Channel Services;Data Scientist;3.9;43000;47000;45000;EUR;yearly;Madrid
Galgus;Data Scientist;3.4;904;983;943;EUR;monthly;Madrid
Bank of America;Data Scientist;3.9;126000;135000;131000;EUR;yearly;Madrid
Mapfre;Data Scientist;3.9;772;827;799;EUR;monthly;Madrid
Between;Data Scientist;4.1;38000;42000;40000;EUR;yearly;Madrid
Nebulova Solutions;Data Scientist;1.0;46000;50000;48000;EUR;yearly;Madrid
Big Data Scientists;Data Scientist;4.6;33000;35000;34000;EUR;yearly;Madrid
ArcelorMittal;Data Scientist;4.0;336;367;352;EUR;monthly;Madrid
Vocento;Data Scientist;3.3;27000;29000;28000;EUR;yearly;Madrid
Talent Search People;Data Scientist;2.6;39000;42000;40000;EUR;yearly;Madrid
Generali;Data Scientist;3.7;476;516;496;EUR;monthly;Madrid
Ferrovial;Data Scientist;3.8;37000;41000;39000;EUR;yearly;Madrid
baobab soluciones;Data Scientist;-0.1000000014901161;23000;25000;24000;EUR;yearly;Madrid
Goal Systems;Data Scientist;3.3;17000;19000;18000;EUR;yearly;Madrid
SGS Consulting;Data Scientist;4.1;22000;24000;23000;EUR;yearly;Madrid
Hitachi Energy;Data Scientist;4.1;53000;58000;55000;EUR;yearly;Madrid
Pursuit Collection;Data Scientist;3.2;12000;12000;12000;EUR;yearly;Madrid
The HEINEKEN Company;Data Scientist;4.3;51000;55000;53000;EUR;yearly;Madrid
Accenture;Data Scientist;3.8;721;779;750;EUR;monthly;Madrid
Ditech (Spain);Data Scientist;3.8;31000;33000;32000;EUR;yearly;Madrid
LG Electronics;Data Scientist;3.5;29000;31000;30000;EUR;yearly;Madrid
Merkle;Data Scientist;3.6;23000;25000;24000;EUR;yearly;Madrid
StyleSage;Data Scientist;5.0;43000;47000;45000;EUR;yearly;Madrid
Mott MacDonald;Data Scientist;4.0;35000;38000;37000;EUR;yearly;Madrid
iryo;Data Scientist;3.4;25000;27000;26000;EUR;yearly;Madrid
Gi Group Holding;Data Scientist;3.6;28000;30000;29000;EUR;yearly;Madrid
Vivo (Telefônica Brasil);Data Scientist;4.5;29000;31000;30000;EUR;yearly;Madrid
HPE COXA;Data Scientist;4.1;31000;33000;32000;EUR;yearly;Madrid
Gobierno de Aragón;Data Scientist;3.6;31000;34000;32000;EUR;yearly;Madrid
CoHispania;Data Scientist;4.4;19000;21000;20000;EUR;yearly;Madrid
LCC España;Data Scientist;2.9;29000;31000;30000;EUR;yearly;Madrid
Pipet Lab;Data Scientist;4.0;24000;26000;25000;EUR;yearly;Madrid
Ada;Data Scientist;3.5;27000;29000;28000;EUR;yearly;Madrid
SegurCaixa Adeslas;Data Scientist;3.6;24000;26000;25000;EUR;yearly;Madrid
CoworkIntel;Data Scientist;5.0;37000;40000;38000;EUR;yearly;Madrid
No Name;Data Scientist;3.6;29000;31000;30000;EUR;yearly;Madrid
SLB;Data Scientist;4.0;48000;52000;50000;EUR;yearly;Madrid
Stratio;Data Scientist;3.1;45000;49000;47000;EUR;yearly;Madrid
Janssen;Data Scientist;3.9;37000;39000;38000;EUR;yearly;Madrid
Chiara;Data Scientist;4.0;20000;22000;21000;EUR;yearly;Madrid
Universidad Rey Juan Carlos;Data Scientist;3.8;29000;31000;30000;EUR;yearly;Madrid
Levi Strauss;Data Scientist;3.9;48000;52000;50000;EUR;yearly;Madrid
Bestinver;Data Scientist;3.9;45000;49000;47000;EUR;yearly;Madrid
Minsait;Data Scientist;3.8;29000;31000;30000;EUR;yearly;Madrid
Aptitude Global;Data Scientist;4.2;41000;45000;43000;EUR;yearly;Madrid
Meteologica;Data Scientist;4.9;56000;60000;58000;EUR;yearly;Madrid
Generali;Data Scientist;3.7;481;524;502;EUR;monthly;Madrid
Sila Solutions Group;Data Scientist;4.4;19000;21000;20000;EUR;yearly;Madrid
TeleMail DirektMarketing;Data Scientist;-0.1000000014901161;31000;33000;32000;EUR;yearly;Madrid
Northside Hospital;Data Scientist;4.4;48000;52000;50000;EUR;yearly;Madrid
Rede Marista;Data Scientist;4.4;13000;15000;14000;EUR;yearly;Madrid
