company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
HP Inc.;Data Scientist;4.1;649;650;650;EUR;monthly;Barcelona
knowmad mood;Data Scientist;4.1;40000;43000;42000;EUR;yearly;Barcelona
IQVIA;Data Scientist;3.8;30000;31000;31000;EUR;yearly;Barcelona
Barcelona Supercomputing Center;Data Scientist;3.9;48000;55000;51000;EUR;yearly;Barcelona
Bayer;Data Scientist;3.9;48000;61000;55000;EUR;yearly;Barcelona
Scopely;Data Scientist;3.8;30000;66000;48000;EUR;yearly;Barcelona
Universitat Pompeu Fabra;Data Scientist;3.7;600;2000;1000;EUR;monthly;Barcelona
Between;Data Scientist;4.1;31000;36000;33000;EUR;yearly;Barcelona
Havas Media;Data Scientist;3.6;8;9;8;EUR;hourly;Barcelona
King;Data Scientist;3.4;33000;40000;37000;EUR;yearly;Barcelona
Kantar;Data Scientist;3.6;30000;35000;33000;EUR;yearly;Barcelona
BaseTIS;Data Scientist;3.5;9;10;9;EUR;hourly;Barcelona
Innovamat Education;Data Scientist;3.7;30000;36000;33000;EUR;yearly;Barcelona
The Knot Worldwide;Data Scientist;3.3;41000;55000;48000;EUR;yearly;Barcelona
EcoVadis;Data Scientist;3.9;40000;41000;40000;EUR;yearly;Barcelona
The Hotels Network;Data Scientist;4.6;40000;40000;40000;EUR;yearly;Barcelona
Hospital Sant Joan de Déu;Data Scientist;3.7;36000;37000;36000;EUR;yearly;Barcelona
ClearPeaks;Data Scientist;4.3;28000;29000;29000;EUR;yearly;Barcelona
Smadex;Data Scientist;4;29000;30000;29000;EUR;yearly;Barcelona
Catalan Institute of Nanoscience and Nanotechnology;Data Scientist;4.3;18000;20000;19000;EUR;yearly;Barcelona
The Keenfolks;Data Scientist;2.2;25000;35000;30000;EUR;yearly;Barcelona
Chartboost;Data Scientist;3;60000;66000;63000;EUR;yearly;Barcelona
ZF Group;Data Scientist;3.8;50000;55000;53000;EUR;yearly;Barcelona
Hospital del Mar;Data Scientist;3.8;45000;45000;45000;EUR;yearly;Barcelona
Parc Taulí Hospital Universitari;Data Scientist;3.8;33000;33000;33000;EUR;yearly;Barcelona
Entrust;Data Scientist;3.6;30000;30000;30000;EUR;yearly;Barcelona
Quantion;Data Scientist;3.4;40000;40000;40000;EUR;yearly;Barcelona
Block;Data Scientist;3.9;48000;56000;52000;EUR;yearly;Barcelona
Satellogic;Data Scientist;3.8;32000;36000;34000;EUR;yearly;Barcelona
DEXMA;Data Scientist;4.7;44000;48000;46000;EUR;yearly;Barcelona
FIATC Seguros;Data Scientist;4;30000;32000;31000;EUR;yearly;Barcelona
CYBERCLICK MARKETING;Data Scientist;3.7;30000;34000;32000;EUR;yearly;Barcelona
Citibeats;Data Scientist;4;30000;42000;36000;EUR;yearly;Barcelona
Mitiga Solutions;Data Scientist;4;35000;50000;43000;EUR;yearly;Barcelona
IOMED Medical Solutions;Data Scientist;4.8;35000;42000;39000;EUR;yearly;Barcelona
Accenture;Data Scientist;3.8;771;836;803;EUR;monthly;Barcelona
Amazon;Data Scientist;3.6;27000;29000;28000;EUR;yearly;Barcelona
Deloitte;Data Scientist;3.9;29000;31000;30000;EUR;yearly;Barcelona
NTT DATA;Data Scientist;3.8;673;730;702;EUR;monthly;Barcelona
NTT DATA;Data Scientist;3.8;5;5;5;EUR;hourly;Barcelona
Indra;Data Scientist;3.7;34000;36000;35000;EUR;yearly;Barcelona
PwC;Data Scientist;3.8;44000;48000;46000;EUR;yearly;Barcelona
EY;Data Scientist;3.7;33000;37000;35000;EUR;yearly;Barcelona
Minsait;Data Scientist;3.8;92;100;96;EUR;hourly;Barcelona
