company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
Bobo Choses;Data Engineer;3;41000;45000;43000;EUR;yearly;Barcelona
Telefónica;Data Engineer;4.1;37000;40000;38000;EUR;yearly;Barcelona
AG Solution;Data Engineer;4.1;30000;33000;31000;EUR;yearly;Barcelona
Tangelo Games;Data Engineer;3.8;31000;35000;33000;EUR;yearly;Barcelona
Europcar Mobility Group;Data Engineer;3.7;49000;53000;51000;EUR;yearly;Barcelona
Clarivate;Data Engineer;3.6;41000;44000;42000;EUR;yearly;Barcelona
Accenture;Data Engineer;3.8;24;26;25;EUR;hourly;Barcelona
Bitio;Data Engineer;5;14;16;15;EUR;hourly;Barcelona
011h;Data Engineer;3.9;43000;47000;45000;EUR;yearly;Barcelona
Capitole Consulting;Data Engineer;4.3;45000;49000;47000;EUR;yearly;Barcelona
ClearPeaks;Data Engineer;4.3;39000;41000;40000;EUR;yearly;Barcelona
Tenkai Technologies;Data Engineer;4.6;34000;37000;35000;EUR;yearly;Barcelona
K-LAGAN;Data Engineer;3.8;45000;49000;47000;EUR;yearly;Barcelona
Minsait;Data Engineer;3.8;38000;41000;40000;EUR;yearly;Barcelona
IKEA;Data Engineer;3.8;29000;31000;30000;EUR;yearly;Barcelona
VISEO;Data Engineer;3.6;31000;33000;32000;EUR;yearly;Barcelona
Kalua;Data Engineer;4.8;2000;2000;2000;EUR;monthly;Barcelona
TotalEnergies;Data Engineer;4;43000;47000;45000;EUR;yearly;Barcelona
Grupo Planeta;Data Engineer;4.4;669;727;698;EUR;monthly;Barcelona
IThinkUPC;Data Engineer;3.8;25000;27000;26000;EUR;yearly;Barcelona
Nan;Data Engineer;3.2;34000;36000;35000;EUR;yearly;Barcelona
Stream Hatchet;Data Engineer;3.9;27000;29000;28000;EUR;yearly;Barcelona
Metriplica;Data Engineer;3.3;39000;42000;40000;EUR;yearly;Barcelona
Business Insights;Data Engineer;3.5;43000;47000;45000;EUR;yearly;Barcelona
KPMG;Data Engineer;3.7;31000;33000;32000;EUR;yearly;Barcelona
Tripledot Studios;Data Engineer;3.6;71000;78000;75000;EUR;yearly;Barcelona
AVL;Data Engineer;4.1;46000;50000;48000;EUR;yearly;Barcelona
Glovo;Data Engineer;3.5;64000;68000;66000;EUR;yearly;Barcelona
Privalia;Data Engineer;3.3;26000;28000;27000;EUR;yearly;Barcelona
Educaonline;Data Engineer;4;19;21;20;EUR;hourly;Barcelona
Indra;Data Engineer;3.7;32000;34000;33000;EUR;yearly;Barcelona
letgo;Data Engineer;3.9;57000;63000;60000;EUR;yearly;Barcelona
Devoteam;Data Engineer;3.8;34000;38000;36000;EUR;yearly;Barcelona
Okta;Data Engineer;3.6;68000;73000;70000;EUR;yearly;Barcelona
PlanetWatch (France);Data Engineer;4;48000;52000;50000;EUR;yearly;Barcelona
Hound Line;Data Engineer;4.5;21000;23000;22000;EUR;yearly;Barcelona
Penguin Random House Grupo Editorial;Data Engineer;4.4;27000;28000;28000;EUR;yearly;Barcelona
Dorna Sports;Data Engineer;3.8;39000;42000;40000;EUR;yearly;Barcelona
International Airlines Group;Data Engineer;3.4;38000;42000;40000;EUR;yearly;Barcelona
Tiendeo;Data Engineer;3.1;9;9;9;EUR;hourly;Barcelona
Upshelf;Data Engineer;1.9;29000;32000;31000;EUR;yearly;Barcelona
Zurich Insurance;Data Engineer;4.3;599;651;625;EUR;monthly;Barcelona
SmartFocus;Data Engineer;2.5;31000;34000;33000;EUR;yearly;Barcelona
T2C Group;Data Engineer;4;22000;24000;23000;EUR;yearly;Barcelona
Welocalize;Data Engineer;3.3;43000;47000;45000;EUR;yearly;Barcelona
Avanade;Data Engineer;3.8;2000;2000;2000;EUR;monthly;Barcelona
Vestas Wind Systems;Data Engineer;4;48000;52000;50000;EUR;yearly;Barcelona
CIRSA;Data Engineer;3.6;53000;58000;56000;EUR;yearly;Barcelona
Utopia Music;Data Engineer;2.3;58000;62000;60000;EUR;yearly;Barcelona
BestPrice.gr;Data Engineer;4.2;4000;5000;5000;EUR;monthly;Barcelona
Glovo;Data Engineer;3.5;19000;21000;20000;EUR;yearly;Barcelona
Lufthansa Group;Data Engineer;3.9;40000;43000;42000;EUR;yearly;Barcelona
Tech Data;Data Engineer;3.8;29000;31000;30000;EUR;yearly;Barcelona
Cofidis;Data Engineer;4;37000;40000;38000;EUR;yearly;Barcelona
Aszendit;Data Engineer;3.9;44000;48000;46000;EUR;yearly;Barcelona
TSD Consulting;Data Engineer;4.1;1000;1000;1000;EUR;monthly;Barcelona
Hospital Germans Trias i Pujol;Data Engineer;4.3;29000;31000;30000;EUR;yearly;Barcelona
Datatonic;Data Engineer;4;38000;41000;40000;EUR;yearly;Barcelona
Universitat Politecnica de Catalunya;Data Engineer;4.1;29000;31000;30000;EUR;yearly;Barcelona
NEORIS;Data Engineer;4;58000;63000;60000;EUR;yearly;Barcelona
Gelato;Data Engineer;4.5;58000;62000;60000;EUR;yearly;Barcelona
Automatiq;Data Engineer;4.6;52000;57000;55000;EUR;yearly;Barcelona
Autonomo;Data Engineer;4.4;46000;50000;48000;EUR;yearly;Barcelona
Netquest (Spain);Data Engineer;3;24000;26000;25000;EUR;yearly;Barcelona
