company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
Asepeyo;Data Analyst;3.6;41000;44000;42000;EUR;yearly;Barcelona
ESTEVE (Spain);Data Analyst;3.8;10000;10000;10000;EUR;yearly;Barcelona
Zurich Insurance;Data Analyst;4.3;30000;32000;31000;EUR;yearly;Barcelona
JNU Analytics;Data Analyst;-0.10000000149011612;1000;2000;1000;EUR;monthly;Barcelona
RBA (Spain);Data Analyst;2.8;25000;27000;26000;EUR;yearly;Barcelona
Mitsubishi;Data Analyst;3.9;35000;37000;36000;EUR;yearly;Barcelona
Next Digital Hub;Data Analyst;4.3;34000;36000;35000;EUR;yearly;Barcelona
Nestlé;Data Analyst;4.1;48000;52000;50000;EUR;yearly;Barcelona
Unioncrate;Data Analyst;4.7;38000;42000;40000;EUR;yearly;Barcelona
CECOT;Data Analyst;4;19000;21000;20000;EUR;yearly;Barcelona
Semrush;Data Analyst;3.7;53000;57000;55000;EUR;yearly;Barcelona
Heroes Technology;Data Analyst;4.1;43000;47000;45000;EUR;yearly;Barcelona
BertIA;Data Analyst;5;8;8;8;EUR;hourly;Barcelona
Test;Data Analyst;4;67000;73000;70000;EUR;yearly;Barcelona
asf;Data Analyst;4.2;24000;26000;25000;EUR;yearly;Barcelona
Decathlon;Data Analyst;4;19000;21000;20000;EUR;yearly;Barcelona
Stanley Black & Decker;Data Analyst;3.5;35000;38000;36000;EUR;yearly;Barcelona
Amber Solutions;Data Analyst;2.4;34000;37000;35000;EUR;yearly;Barcelona
LCR Group;Data Analyst;4.6;24000;26000;25000;EUR;yearly;Barcelona
HBX Group;Data Analyst;4.2;19000;21000;20000;EUR;yearly;Barcelona
Adevinta;Data Analyst;3.6;34000;37000;35000;EUR;yearly;Barcelona
Edreams Edusoft;Data Analyst;3.6;40000;44000;42000;EUR;yearly;Barcelona
OBS Business School;Data Analyst;3.9;24000;26000;25000;EUR;yearly;Barcelona
Impress;Data Analyst;3.1;33000;36000;35000;EUR;yearly;Barcelona
lastminute.com;Data Analyst;3.5;38000;42000;40000;EUR;yearly;Barcelona
Privalia;Data Analyst;3.3;19000;21000;20000;EUR;yearly;Barcelona
Normmal;Data Analyst;4;33000;37000;35000;EUR;yearly;Barcelona
Deloitte;Data Analyst;3.8;24000;26000;25000;EUR;yearly;Barcelona
Torrons Vicens;Data Analyst;3.5;6;6;6;EUR;hourly;Barcelona
Havas Media;Data Analyst;3.6;24000;26000;25000;EUR;yearly;Barcelona
CSS;Data Analyst;3.7;58000;62000;60000;EUR;yearly;Barcelona
Universitat Oberta de Catalunya;Data Analyst;3.8;29000;31000;30000;EUR;yearly;Barcelona
Siemens Energy;Data Analyst;4.2;58000;62000;60000;EUR;yearly;Barcelona
BaseTIS;Data Analyst;3.5;23000;25000;24000;EUR;yearly;Barcelona
Preply;Data Analyst;4.2;62000;68000;65000;EUR;yearly;Barcelona
AstraZeneca;Data Analyst;4;58000;63000;60000;EUR;yearly;Barcelona
HP Inc.;Data Analyst;4.1;29000;31000;30000;EUR;yearly;Barcelona
Linde;Data Analyst;3.6;42000;45000;43000;EUR;yearly;Barcelona
Barcelona de Serveis Municipals;Data Analyst;3.7;8;8;8;EUR;hourly;Barcelona
Meeting Doctors;Data Analyst;3.4;33000;37000;35000;EUR;yearly;Barcelona
Reca (Spain);Data Analyst;5;958;1000;999;EUR;monthly;Barcelona
Moreno Valley College;Data Analyst;4.1;11;13;12;EUR;hourly;Barcelona
Generalitat de Catalunya;Data Analyst;4;34000;37000;35000;EUR;yearly;Barcelona
Cash App;Data Analyst;3.7;50000;54000;52000;EUR;yearly;Barcelona
Pentrilo;Data Analyst;3;24000;26000;25000;EUR;yearly;Barcelona
Gaming Laboratories International;Data Analyst;2.9;26000;28000;27000;EUR;yearly;Barcelona
Laguna;Data Analyst;3.2;30000;32000;31000;EUR;yearly;Barcelona
CloudBlue;Data Analyst;3;41000;44000;43000;EUR;yearly;Barcelona
CIRSA;Data Analyst;3.6;29000;31000;30000;EUR;yearly;Barcelona
Doctoralia;Data Analyst;3.9;27000;29000;28000;EUR;yearly;Barcelona
Ara Vinc;Data Analyst;3.3;27000;29000;28000;EUR;yearly;Barcelona
Global Green Growth Institute;Data Analyst;3.8;24000;26000;25000;EUR;yearly;Barcelona
Immfly;Data Analyst;3.5;31000;34000;33000;EUR;yearly;Barcelona
Bitpanda;Data Analyst;3.8;52000;57000;55000;EUR;yearly;Barcelona
Rakuten TV;Data Analyst;3.8;41000;44000;42000;EUR;yearly;Barcelona
Comisión Federal de Competencia Económica;Data Analyst;4.2;3000;3000;3000;EUR;monthly;Barcelona
Ironhack;Data Analyst;3.5;1000;1000;1000;EUR;monthly;Barcelona
everis;Data Analyst;3.6;33000;35000;34000;EUR;yearly;Barcelona
Papernest;Data Analyst;3.7;2000;3000;2000;EUR;monthly;Barcelona
Ideawise Group;Data Analyst;4;42000;46000;44000;EUR;yearly;Barcelona
AMBAR SOLUCIONES;Data Analyst;4.1;27000;29000;28000;EUR;yearly;Barcelona
Vista;Data Analyst;3.8;43000;46000;45000;EUR;yearly;Barcelona
NDT Global;Data Analyst;3.9;29000;31000;30000;EUR;yearly;Barcelona
Edenred;Data Analyst;4;33000;36000;35000;EUR;yearly;Barcelona
Allianz;Data Analyst;4;37000;40000;38000;EUR;yearly;Barcelona
Adevinta Spain;Data Analyst;4;58000;64000;61000;EUR;yearly;Barcelona
Innovamat Education;Data Analyst;3.7;31000;33000;32000;EUR;yearly;Barcelona
SICK;Data Analyst;4.1;24000;26000;25000;EUR;yearly;Barcelona
TD SYNNEX;Data Analyst;3.7;29000;31000;30000;EUR;yearly;Barcelona
Ecolab;Data Analyst;3.7;41000;44000;43000;EUR;yearly;Barcelona
Vall d'Hebron Institut de Recerca;Data Analyst;3.5;29000;31000;30000;EUR;yearly;Barcelona
Stuart;Data Analyst;3;38000;42000;40000;EUR;yearly;Barcelona
Phiture;Data Analyst;3.8;49000;53000;51000;EUR;yearly;Barcelona
Gameloft;Data Analyst;3.8;43000;47000;45000;EUR;yearly;Barcelona
La Capricciosa;Data Analyst;4.6;2000;2000;2000;EUR;monthly;Barcelona
TravelPerk;Data Analyst;4.1;50000;53000;52000;EUR;yearly;Barcelona
Human Technopole;Data Analyst;3.4;2000;2000;2000;EUR;monthly;Barcelona
B-Led;Data Analyst;5;2000;2000;2000;EUR;monthly;Barcelona
Antai Venture Builder;Data Analyst;4.6;26000;28000;27000;EUR;yearly;Barcelona
Gift Campaign;Data Analyst;4.7;29000;31000;30000;EUR;yearly;Barcelona
SI Group;Data Analyst;3.5;2000;2000;2000;EUR;monthly;Barcelona
Veepee;Data Analyst;3.5;40000;43000;42000;EUR;yearly;Barcelona
Barcelona Supercomputing Center;Data Analyst;3.9;38000;41000;40000;EUR;yearly;Barcelona
UL Solutions;Data Analyst;3.7;26000;28000;27000;EUR;yearly;Barcelona
Remote;Data Analyst;3.7;61000;66000;63000;EUR;yearly;Barcelona
BlueStar;Data Analyst;3.3;26000;28000;27000;EUR;yearly;Barcelona
Smadex;Data Analyst;4;28000;30000;29000;EUR;yearly;Barcelona
4sfera Innova;Data Analyst;-0.10000000149011612;25000;27000;26000;EUR;yearly;Barcelona
Ampans;Data Analyst;2.3;21000;23000;22000;EUR;yearly;Barcelona
Acofarma;Data Analyst;3.7;34000;36000;35000;EUR;yearly;Barcelona
Shiji Group;Data Analyst;3.5;2000;3000;3000;EUR;monthly;Barcelona
Zeptolab;Data Analyst;4.1;39000;43000;41000;EUR;yearly;Barcelona
Microsoft;Data Analyst;4.2;6000;7000;6000;EUR;monthly;Barcelona
Sibilare;Data Analyst;5;27000;29000;28000;EUR;yearly;Barcelona
Schneider Electric;Data Analyst;4.3;867;931;899;EUR;monthly;Barcelona
Citibeats;Data Analyst;4;31000;33000;32000;EUR;yearly;Barcelona
Cafler;Data Analyst;3.1;17000;19000;18000;EUR;yearly;Barcelona
Activision Blizzard;Data Analyst;3.7;50000;56000;53000;EUR;yearly;Barcelona
Glovo;Data Scientist;3.5;50000;65000;54000;EUR;yearly;Barcelona
Accenture;Data Scientist;3.8;30000;40000;37000;EUR;yearly;Barcelona
Banco Sabadell;Data Scientist;3.8;33000;47000;40000;EUR;yearly;Barcelona
Glovo;Data Engineer;3.5;47000;64000;55000;EUR;yearly;Barcelona
Glovo;Senior Data Analyst;3.5;42000;50000;49000;EUR;yearly;Barcelona
TransPerfect;Language Data Analyst;3.1;19000;24000;19000;EUR;yearly;Barcelona
TELUS Digital;Language Data Analyst;3.6;25000;25000;25000;EUR;yearly;Barcelona
CaixaBank;Data Scientist;3.8;34000;47000;43000;EUR;yearly;Barcelona
