company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
Devoteam G Cloud;Data Engineer;3.7;28000;39000;34000;EUR;yearly;Madrid
EPAM Systems;Data Engineer;4;37000;48000;43000;EUR;yearly;Madrid
Orange;Data Engineer;4;30000;40000;40000;EUR;yearly;Madrid
Avanade;Data Engineer;3.8;18000;54000;36000;EUR;yearly;Madrid
NEORIS;Data Engineer;4;24000;48000;45000;EUR;yearly;Madrid
ThetaRay;Data Engineer;4.3;40000;43000;40000;EUR;yearly;Madrid
Bertrandt;Data Engineer;3.5;30000;39000;39000;EUR;yearly;Madrid
Aplazame;Data Engineer;2.2;50000;60000;50000;EUR;yearly;Madrid
Servicios financieros Carrefour;Data Engineer;4.1;37000;40000;40000;EUR;yearly;Madrid
Quental Technologies;Data Engineer;3.2;25000;28000;25000;EUR;yearly;Madrid
Stratebi;Data Engineer;3;32000;50000;41000;EUR;yearly;Madrid
Sogeti;Data Engineer;3.4;29000;30000;30000;EUR;yearly;Madrid
VIEWNEXT;Data Engineer;3.5;19000;25000;22000;EUR;yearly;Madrid
StubHub;Data Engineer;2.5;44000;44000;44000;EUR;yearly;Madrid
Boycor;Data Engineer;4.2;30000;40000;35000;EUR;yearly;Madrid
Acciona;Data Engineer;4;29000;38000;33000;EUR;yearly;Madrid
eDreams ODIGEO;Data Engineer;4.1;44000;55000;50000;EUR;yearly;Madrid
Keyrus;Data Engineer;4.1;30000;37000;34000;EUR;yearly;Madrid
Randstad;Data Engineer;3.7;28000;34000;31000;EUR;yearly;Madrid
Logista;Data Engineer;3.7;40000;46000;43000;EUR;yearly;Madrid
Too Good To Go;Data Engineer;3.2;60000;63000;62000;EUR;yearly;Madrid
Carrefour;Data Engineer;3.7;33000;41000;37000;EUR;yearly;Madrid
Hewlett Packard Enterprise | HPE;Data Engineer;4.1;31000;36000;34000;EUR;yearly;Madrid
Mercedes-Benz Group;Data Engineer;4.1;44000;53000;49000;EUR;yearly;Madrid
Sectorea;Data Engineer;3.8;43000;45000;44000;EUR;yearly;Madrid
DIVISADERO;Data Engineer;3.9;28000;29000;29000;EUR;yearly;Madrid
Olocip;Data Engineer;4;24000;24000;24000;EUR;yearly;Madrid
Amadeus;Data Engineer;4.1;37000;45000;41000;EUR;yearly;Madrid
DXC Technology;Data Engineer;3.5;22000;42000;32000;EUR;yearly;Madrid
Alenia Consulting;Data Engineer;4.7;45000;56000;50000;EUR;yearly;Madrid
APACHE DIGITAL;Data Engineer;3.1;21000;26000;24000;EUR;yearly;Madrid
Experis;Data Engineer;3.5;3000;3000;3000;EUR;monthly;Madrid
Proyecto Universidad Empresa;Data Engineer;2.5;30000;30000;30000;EUR;yearly;Madrid
Tinámica;Data Engineer;3.9;25000;30000;28000;EUR;yearly;Madrid
Mobilize Financial Services;Data Engineer;3.6;31000;45000;38000;EUR;yearly;Madrid
Management Solutions;Data Engineer;3.8;25000;29000;27000;EUR;yearly;Madrid
Galeo;Data Engineer;4;30000;42000;36000;EUR;yearly;Madrid
Open;Data Engineer;3.4;3000;4000;3000;EUR;monthly;Madrid
Grupo Solutio;Data Engineer;2.4;50000;51000;51000;EUR;yearly;Madrid
IBM;Data Engineer;4;40000;60000;50000;EUR;yearly;Madrid
Accenture;Data Engineer;3.8;12000;20000;16000;EUR;yearly;Madrid
Cosentino;Data Engineer;3.6;34000;50000;42000;EUR;yearly;Madrid
Kernel Analytics;Data Engineer;4;26000;30000;28000;EUR;yearly;Madrid
BABEL;Data Engineer;3.6;32000;60000;46000;EUR;yearly;Madrid
Universidad Internacional de La Rioja;Data Engineer;3.2;30000;34000;32000;EUR;yearly;Madrid
SegurCaixa Adeslas;Data Engineer;3.6;35000;50000;43000;EUR;yearly;Madrid
ODILO;Data Engineer;3.4;35000;40000;38000;EUR;yearly;Madrid
Línea Directa;Data Engineer;3.5;47000;48000;48000;EUR;yearly;Madrid
Aubay;Data Engineer;3.5;44000;50000;47000;EUR;yearly;Madrid
ÁlamoConsulting;Data Engineer;3.4;29000;33000;31000;EUR;yearly;Madrid
Afirma Solutions;Data Engineer;3.8;27000;44000;36000;EUR;yearly;Madrid
Globant;Data Engineer;3.9;48000;60000;54000;EUR;yearly;Madrid
Geoblink;Data Engineer;3.7;35000;50000;43000;EUR;yearly;Madrid
AXA;Data Engineer;3.9;33000;38000;36000;EUR;yearly;Madrid
Capgemini Engineering;Data Engineer;3.5;32000;38000;35000;EUR;yearly;Madrid
Innocv Solutions;Data Engineer;3.4;24000;26000;25000;EUR;yearly;Madrid
Barrabés;Data Engineer;3.1;2000;3000;2000;EUR;monthly;Madrid
TomTom;Data Engineer;4;52000;55000;54000;EUR;yearly;Madrid
VERTI;Data Engineer;4.7;50000;55000;53000;EUR;yearly;Madrid
Savana;Data Engineer;3.9;30000;30000;30000;EUR;yearly;Madrid
T-Systems;Data Engineer;3.7;40000;45000;43000;EUR;yearly;Madrid
Amazon;Data Engineer;3.6;30000;80000;55000;EUR;yearly;Madrid
ADEO;Data Engineer;4.1;29000;31000;30000;EUR;yearly;Madrid
Inetum;Data Engineer;3.3;583;626;604;EUR;monthly;Madrid
Nexxyo Labs;Data Engineer;1.3;21000;23000;22000;EUR;yearly;Madrid
Pullmantur;Data Engineer;4.3;48000;52000;50000;EUR;yearly;Madrid
Amazon;Data Engineer;3.6;2000;2000;2000;EUR;monthly;Madrid
Mapfre;Data Engineer;3.9;58000;62000;60000;EUR;yearly;Madrid
myOmics;Data Engineer;5;21000;23000;22000;EUR;yearly;Madrid
IOON;Data Engineer;2.9;29000;31000;30000;EUR;yearly;Madrid
Podo;Data Engineer;4.5;29000;31000;30000;EUR;yearly;Madrid
Future Connections;Data Engineer;4.5;30000;33000;32000;EUR;yearly;Madrid
The CT Engineering Group;Data Engineer;3.9;29000;31000;30000;EUR;yearly;Madrid
Celonis;Data Engineer;3.9;76000;84000;80000;EUR;yearly;Madrid
SENER;Data Engineer;4.2;27000;29000;28000;EUR;yearly;Madrid
Ultra Tendency;Data Engineer;4.3;42000;45000;43000;EUR;yearly;Madrid
Prodware;Data Engineer;3.7;35000;39000;37000;EUR;yearly;Madrid
Agap2;Data Engineer;3.3;29000;31000;30000;EUR;yearly;Madrid
EY;Data Engineer;3.7;25000;27000;26000;EUR;yearly;Madrid
Brunel;Data Engineer;4.2;58000;63000;60000;EUR;yearly;Madrid
PwC;Data Engineer;3.8;32000;35000;33000;EUR;yearly;Madrid
Bdeo;Data Engineer;4.2;29000;31000;30000;EUR;yearly;Madrid
Sportian;Data Engineer;2.5;37000;40000;38000;EUR;yearly;Madrid
Keywords Studios;Data Engineer;3.6;60000;65000;63000;EUR;yearly;Madrid
Rural Servicios Informáticos;Data Engineer;3.9;46000;50000;48000;EUR;yearly;Madrid
Co-op Solutions;Data Engineer;3.2;29000;31000;30000;EUR;yearly;Madrid
InterMundial;Data Engineer;3.6;23000;25000;24000;EUR;yearly;Madrid
Kapsch;Data Engineer;4;34000;37000;36000;EUR;yearly;Madrid
UST;Data Engineer;3.9;19000;21000;20000;EUR;yearly;Madrid
Rêv Worldwide;Data Engineer;3.2;52000;57000;55000;EUR;yearly;Madrid
Aurora Technology;Data Engineer;4.3;87000;93000;90000;EUR;yearly;Madrid
Zartis;Data Engineer;4.8;41000;45000;43000;EUR;yearly;Madrid
SCRM;Data Engineer;4.3;58000;63000;60000;EUR;yearly;Madrid
GroupM;Data Engineer;3.7;34000;37000;36000;EUR;yearly;Madrid
Société Générale;Data Engineer;3.7;53000;57000;55000;EUR;yearly;Madrid
DataBeacon;Data Engineer;5;43000;47000;45000;EUR;yearly;Madrid
Savana;Data Engineer;3.1;48000;52000;50000;EUR;yearly;Madrid
Embat;Data Engineer;4.5;28000;30000;29000;EUR;yearly;Madrid
Santander Global Operations;Data Engineer;2.8;58000;63000;60000;EUR;yearly;Madrid
Bertrandt Spain;Data Engineer;4.1;28000;30000;29000;EUR;yearly;Madrid
Trentia Consulting;Data Engineer;3.3;36000;40000;38000;EUR;yearly;Madrid
SIA Group;Data Engineer;4;43000;47000;45000;EUR;yearly;Madrid
BlaBlaCar;Data Engineer;4.5;43000;47000;45000;EUR;yearly;Madrid
Irium;Data Engineer;2.4;29000;31000;30000;EUR;yearly;Madrid
BMAT;Data Engineer;4.3;31000;33000;32000;EUR;yearly;Madrid
Eugen;Data Engineer;5;26000;28000;27000;EUR;yearly;Madrid
Indra;Data Engineer;3.8;33000;36000;35000;EUR;yearly;Madrid
Nfq Advisory Services;Data Engineer;4;31000;33000;32000;EUR;yearly;Madrid
Hiberus Tecnología;Data Engineer;3.7;866;935;901;EUR;monthly;Madrid
NTT DATA;Data Engineer;3.8;832;909;871;EUR;monthly;Madrid
Jump;Data Engineer;3.8;46000;49000;48000;EUR;yearly;Madrid
GFT;Data Engineer;4.3;34000;36000;35000;EUR;yearly;Madrid
Havas Group;Data Engineer;3.6;40000;43000;42000;EUR;yearly;Madrid
Aily;Data Engineer;3.2;59000;64000;62000;EUR;yearly;Madrid
ThePowerMBA;Data Engineer;3.2;29000;31000;30000;EUR;yearly;Madrid
Huxley;Data Engineer;3.8;39000;42000;40000;EUR;yearly;Madrid
Alten (Spain);Data Engineer;2.8;37000;39000;38000;EUR;yearly;Madrid
Meta;Data Engineer;3.9;14000;14000;14000;EUR;yearly;Madrid
Telespazio Germany;Data Engineer;3.8;47000;51000;49000;EUR;yearly;Madrid
Alantra;Data Engineer;3;39000;42000;40000;EUR;yearly;Madrid
Cybrik;Data Engineer;5;29000;31000;30000;EUR;yearly;Madrid
Anook;Data Engineer;5;19000;21000;20000;EUR;yearly;Madrid
Var Group;Data Engineer;4;31000;33000;32000;EUR;yearly;Madrid
Gloval;Data Engineer;2.8;32000;34000;33000;EUR;yearly;Madrid
Stratesys;Data Engineer;3.8;35000;38000;37000;EUR;yearly;Madrid
IKEA;Data Engineer;3.8;41000;45000;43000;EUR;yearly;Madrid
Excelia (Spain);Data Engineer;2.6;38000;42000;40000;EUR;yearly;Madrid
Empresa propia;Data Engineer;4.7;48000;52000;50000;EUR;yearly;Madrid
Ignis;Data Engineer;4.1;27000;29000;28000;EUR;yearly;Madrid
Civica Software;Data Engineer;4.3;24000;26000;25000;EUR;yearly;Madrid
Axpo;Data Engineer;4.1;46000;50000;48000;EUR;yearly;Madrid
Nae;Data Engineer;4;38000;41000;40000;EUR;yearly;Madrid
Katur Solve;Data Engineer;-0.10000000149011612;95000;103000;99000;EUR;yearly;Madrid
Weplan;Data Engineer;4.6;29000;31000;30000;EUR;yearly;Madrid
Universidad Politécnica de Madrid;Data Engineer;3.9;33000;36000;34000;EUR;yearly;Madrid
Deloitte;Data Engineer;3.9;24000;26000;25000;EUR;yearly;Madrid
HUF;Data Engineer;3.9;38000;42000;40000;EUR;yearly;Madrid
Opinno;Data Engineer;3.3;46000;50000;48000;EUR;yearly;Madrid
Equifax;Data Engineer;3.5;43000;47000;45000;EUR;yearly;Madrid
Grupo Insud;Data Engineer;3.3;46000;50000;48000;EUR;yearly;Madrid
ClickDimensions;Data Engineer;2.7;44000;48000;46000;EUR;yearly;Madrid
Securitas Direct;Data Engineer;3.3;34000;36000;35000;EUR;yearly;Madrid
Nforce Operations Services;Data Engineer;3.2;29000;31000;30000;EUR;yearly;Madrid
MDW Partners;Data Engineer;-0.10000000149011612;34000;37000;35000;EUR;yearly;Madrid
NUNYA;Data Engineer;3.9;39000;42000;40000;EUR;yearly;Madrid
INSPIDE;Data Engineer;5;24000;26000;25000;EUR;yearly;Madrid
Indizen Optical Technologies;Data Engineer;4.3;48000;52000;50000;EUR;yearly;Madrid
Revolut;Data Engineer;3.9;52000;57000;55000;EUR;yearly;Madrid
MCA Groupe;Data Engineer;3.6;40000;44000;42000;EUR;yearly;Madrid
Talent Hackers;Data Engineer;4.6;38000;41000;40000;EUR;yearly;Madrid
Pepper Spanish Servicing;Data Engineer;4;52000;57000;55000;EUR;yearly;Madrid
Contentsquare;Data Engineer;3.5;63000;68000;65000;EUR;yearly;Madrid
Ayesa;Data Engineer;3.4;5000;6000;5000;EUR;monthly;Madrid
VMware;Data Engineer;4.4;97000;105000;101000;EUR;yearly;Madrid
Omega CRM;Data Engineer;4.1;43000;47000;45000;EUR;yearly;Madrid
SoftwareOne;Data Engineer;3.9;20000;22000;21000;EUR;yearly;Madrid
SoloLearn;Data Engineer;4.1;58000;62000;60000;EUR;yearly;Madrid
Enel;Data Engineer;3.8;54000;58000;56000;EUR;yearly;Madrid
Bankinter;Data Engineer;4;26000;28000;27000;EUR;yearly;Madrid
WayOps;Data Engineer;2.5;29000;31000;30000;EUR;yearly;Madrid
OSP Group;Data Engineer;3.3;46000;50000;48000;EUR;yearly;Madrid
Bluetab;Data Engineer;4.1;572;621;597;EUR;monthly;Madrid
Strategy Big Data;Data Engineer;3.1;48000;52000;50000;EUR;yearly;Madrid
Gyrus Data Solutions;Data Engineer;-0.10000000149011612;37000;40000;38000;EUR;yearly;Madrid
Dell Technologies;Data Engineer;3.8;29000;31000;30000;EUR;yearly;Madrid
IriusRisk;Data Engineer;4.5;38000;42000;40000;EUR;yearly;Madrid
CBRE;Data Engineer;3.9;29000;31000;30000;EUR;yearly;Madrid
Plexus Tech;Data Engineer;3.7;34000;36000;35000;EUR;yearly;Madrid
HTC;Data Engineer;3.4;48000;52000;50000;EUR;yearly;Madrid
CapTable;Data Engineer;4.1;19000;21000;20000;EUR;yearly;Madrid
Enel X Way;Data Engineer;3.5;48000;52000;50000;EUR;yearly;Madrid
El Corte Inglés;Data Engineer;3.5;29000;31000;30000;EUR;yearly;Madrid
